period,date,one,two,three,four,five,six,special,
104000024,2015-03-06,44,22,21,06,37,35,29,
104000023,2015-03-03,43,46,41,06,11,04,21,
104000022,2015-02-27,02,06,43,38,27,34,45,
104000021,2015-02-24,46,39,28,03,48,41,09,
104000020,2015-02-23,21,20,43,38,32,14,23,
104000019,2015-02-22,06,03,12,37,34,43,28,
104000018,2015-02-21,27,17,40,02,11,05,20,
104000017,2015-02-20,10,45,29,05,09,28,41,
104000016,2015-02-19,25,40,07,49,31,27,11,
104000015,2015-02-18,15,27,06,16,03,31,14,
104000014,2015-02-17,11,15,23,46,40,03,13,
104000013,2015-02-13,25,01,29,09,15,35,38,
104000012,2015-02-10,29,14,44,26,15,35,09,
104000011,2015-02-06,11,42,05,29,46,36,48,
104000010,2015-02-03,30,13,16,18,05,15,08,
104000009,2015-01-30,35,14,24,39,03,44,28,
104000008,2015-01-27,45,04,27,15,09,21,06,
104000007,2015-01-23,20,16,39,42,38,08,29,
104000006,2015-01-20,47,35,28,45,09,24,48,
104000005,2015-01-16,02,46,17,32,38,28,49,
104000004,2015-01-13,46,14,22,37,02,16,49,
104000003,2015-01-09,18,07,24,21,23,08,11,
104000002,2015-01-06,16,37,43,11,30,29,13,
104000001,2015-01-02,31,23,48,29,22,13,06,
103000108,2014-12-30,48,49,07,44,32,30,45,
103000107,2014-12-26,49,32,42,45,09,27,30,
103000106,2014-12-23,32,39,03,31,30,27,35,
103000105,2014-12-19,09,01,24,41,32,49,40,
103000104,2014-12-16,35,45,34,32,17,28,08,
103000103,2014-12-12,24,08,29,32,07,48,37,
103000102,2014-12-09,41,23,09,07,43,33,24,
103000101,2014-12-05,47,30,11,34,37,18,17,
103000100,2014-12-02,11,26,42,13,09,23,47,
103000099,2014-11-28,35,44,01,40,10,21,36,
103000098,2014-11-25,15,32,16,01,44,48,40,
103000097,2014-11-21,03,32,02,34,26,22,40,
103000096,2014-11-18,12,20,43,11,28,26,06,
103000095,2014-11-14,44,15,41,29,16,34,49,
103000094,2014-11-11,18,23,11,36,05,43,14,
103000093,2014-11-07,49,25,40,27,19,11,33,
103000092,2014-11-04,20,38,03,35,30,41,47,
103000091,2014-10-31,14,08,27,49,10,02,20,
103000090,2014-10-28,16,32,25,05,37,44,21,
103000089,2014-10-24,36,01,20,45,17,37,15,
103000088,2014-10-21,31,44,42,28,14,38,45,
103000087,2014-10-17,32,36,33,02,20,11,39,
103000086,2014-10-14,47,36,20,09,14,10,08,
103000085,2014-10-10,11,26,01,24,28,19,33,
103000084,2014-10-07,45,40,17,47,18,41,29,
103000083,2014-10-03,10,14,19,37,24,35,39,
103000082,2014-09-30,49,41,18,47,36,35,15,
103000081,2014-09-26,15,19,29,22,37,08,39,
103000080,2014-09-23,38,28,20,32,02,11,16,
103000079,2014-09-19,06,17,29,02,32,39,04,
103000078,2014-09-16,41,19,07,18,16,12,45,
103000077,2014-09-12,27,49,02,36,31,23,15,
103000076,2014-09-09,42,49,21,41,29,23,14,
103000075,2014-09-05,16,25,32,10,36,27,45,
103000074,2014-09-02,39,36,43,07,08,42,22,
103000073,2014-08-29,39,38,21,23,10,09,35,
103000072,2014-08-26,23,32,43,19,01,17,09,
103000071,2014-08-22,43,08,23,30,16,31,18,
103000070,2014-08-19,12,19,06,07,14,09,17,
103000069,2014-08-15,47,46,29,23,18,48,05,
103000068,2014-08-12,12,10,06,04,34,45,44,
103000067,2014-08-08,32,42,26,45,38,31,37,
103000066,2014-08-05,40,11,26,33,04,42,34,
103000065,2014-08-01,45,08,21,32,05,23,18,
103000064,2014-07-29,47,36,32,31,44,34,46,
103000063,2014-07-25,45,30,21,32,05,35,26,
103000062,2014-07-22,28,03,13,09,17,42,14,
103000061,2014-07-18,19,15,21,02,30,01,40,
103000060,2014-07-15,07,32,18,23,48,34,13,
103000059,2014-07-11,07,18,30,01,15,14,33,
103000058,2014-07-08,33,10,39,22,47,25,38,
103000057,2014-07-04,48,14,24,17,27,03,28,
103000056,2014-07-01,09,21,48,08,07,06,18,
103000055,2014-06-27,35,34,36,27,13,21,24,
103000054,2014-06-24,14,40,08,01,12,41,15,
103000053,2014-06-20,14,36,12,16,33,47,48,
103000052,2014-06-17,03,06,20,48,18,25,12,
103000051,2014-06-13,28,32,37,42,04,21,16,
103000050,2014-06-10,03,32,11,35,33,28,30,
103000049,2014-06-06,41,29,47,49,25,40,48,
103000048,2014-06-03,31,32,16,44,35,33,46,
103000047,2014-05-30,21,09,17,35,24,30,15,
103000046,2014-05-27,26,19,23,10,39,32,16,
103000045,2014-05-23,30,11,22,46,17,27,15,
103000044,2014-05-20,34,33,30,13,35,06,38,
103000043,2014-05-16,45,41,31,42,14,38,29,
103000042,2014-05-13,32,20,31,44,29,15,23,
103000041,2014-05-09,13,01,27,21,37,11,03,
103000040,2014-05-06,10,46,39,35,40,25,31,
103000039,2014-05-02,01,25,37,23,07,40,12,
103000038,2014-04-29,02,46,09,44,30,27,22,
103000037,2014-04-25,46,24,34,04,38,35,30,
103000036,2014-04-22,18,37,20,11,12,15,42,
103000035,2014-04-18,08,48,15,40,09,44,24,
103000034,2014-04-15,26,44,24,08,35,05,41,
103000033,2014-04-11,01,03,17,09,12,04,15,
103000032,2014-04-08,28,27,17,01,45,14,11,
103000031,2014-04-04,08,24,35,37,41,47,23,
103000030,2014-04-01,46,18,29,30,47,22,06,
103000029,2014-03-28,09,18,23,36,47,35,41,
103000028,2014-03-25,19,25,47,42,30,23,16,
103000027,2014-03-21,47,26,46,08,31,18,20,
103000026,2014-03-18,26,40,35,39,12,28,16,
103000025,2014-03-14,47,08,40,41,27,02,28,
103000024,2014-03-11,40,20,15,16,13,43,14,
103000023,2014-03-07,38,26,06,37,18,30,16,
103000022,2014-03-04,43,08,40,35,37,26,06,
103000021,2014-02-28,17,24,13,18,32,28,37,
103000020,2014-02-25,13,09,05,03,46,12,04,
103000019,2014-02-21,11,12,23,40,28,48,09,
103000018,2014-02-18,47,19,06,26,32,20,35,
103000017,2014-02-14,24,10,48,33,20,19,01,
103000016,2014-02-11,15,31,21,06,44,22,41,
103000015,2014-02-07,22,05,28,11,21,12,25,
103000014,2014-02-04,19,46,32,12,42,08,28,
103000013,2014-02-03,02,16,27,30,17,01,48,
103000012,2014-02-02,14,45,03,24,19,13,05,
103000011,2014-02-01,36,37,13,19,09,06,27,
103000010,2014-01-31,38,17,23,49,48,27,19,
103000009,2014-01-30,09,22,49,48,45,44,08,
103000008,2014-01-28,02,30,07,26,05,01,24,
103000007,2014-01-24,04,20,29,41,45,01,36,
103000006,2014-01-21,22,43,12,44,38,15,09,
103000005,2014-01-17,20,29,13,15,26,36,37,
103000004,2014-01-14,11,49,02,45,41,21,26,
103000003,2014-01-10,07,19,17,30,37,32,03,
103000002,2014-01-07,01,07,25,36,21,35,39,
103000001,2014-01-03,11,35,21,18,37,20,08,
102000108,2013-12-31,27,36,42,40,29,05,35,
102000107,2013-12-27,16,31,43,39,02,12,18,
102000106,2013-12-24,21,09,33,36,24,43,03,
102000105,2013-12-20,25,08,17,09,14,45,27,
102000104,2013-12-17,28,14,01,09,04,22,20,
102000103,2013-12-13,16,41,10,48,26,28,42,
102000102,2013-12-10,06,34,49,11,27,42,21,
102000101,2013-12-06,08,06,04,10,36,15,13,
102000100,2013-12-03,44,10,08,38,17,49,40,
102000099,2013-11-29,02,19,30,31,08,13,20,
102000098,2013-11-26,15,20,10,11,21,01,26,
102000097,2013-11-22,09,08,40,47,11,24,33,
102000096,2013-11-19,33,35,16,46,36,15,21,
102000095,2013-11-15,43,31,02,18,36,04,08,
102000094,2013-11-12,22,12,29,23,46,03,33,
102000093,2013-11-08,30,28,01,39,03,33,34,
102000092,2013-11-05,27,46,37,12,03,29,17,
102000091,2013-11-01,31,06,16,36,26,46,09,
102000090,2013-10-29,21,42,04,39,30,01,44,
102000089,2013-10-25,35,11,36,08,03,10,39,
102000088,2013-10-22,08,39,32,23,07,16,22,
102000087,2013-10-18,09,17,39,43,11,40,46,
102000086,2013-10-15,20,13,22,16,28,08,49,
102000085,2013-10-11,32,37,02,46,49,10,28,
102000084,2013-10-08,04,06,26,31,07,11,38,
102000083,2013-10-04,12,25,28,18,07,48,46,
102000082,2013-10-01,46,01,17,23,14,04,41,
102000081,2013-09-27,01,18,38,46,12,19,02,
102000080,2013-09-24,15,23,07,35,09,34,41,
102000079,2013-09-20,47,12,06,39,28,19,36,
102000078,2013-09-17,46,40,08,01,17,19,15,
102000077,2013-09-13,16,28,26,27,45,12,06,
102000076,2013-09-10,42,14,34,01,10,47,09,
102000075,2013-09-06,14,07,48,33,06,36,18,
102000074,2013-09-03,39,29,48,22,13,11,45,
102000073,2013-08-30,21,36,02,46,27,24,05,
102000072,2013-08-27,11,08,15,05,36,14,46,
102000071,2013-08-23,12,11,05,14,31,35,26,
102000070,2013-08-20,49,31,16,28,07,05,34,
102000069,2013-08-16,24,40,29,17,27,04,09,
102000068,2013-08-13,14,48,37,34,16,12,07,
102000067,2013-08-09,12,13,04,03,24,30,09,
102000066,2013-08-06,27,17,48,32,04,01,06,
102000065,2013-08-02,43,07,44,45,46,27,35,
102000064,2013-07-30,43,06,22,15,45,16,48,
102000063,2013-07-26,34,17,08,39,21,45,44,
102000062,2013-07-23,17,35,24,27,49,04,39,
102000061,2013-07-19,05,03,15,09,49,30,48,
102000060,2013-07-16,13,31,16,29,10,37,32,
102000059,2013-07-12,48,47,29,34,24,15,31,
102000058,2013-07-09,43,41,29,28,19,24,37,
102000057,2013-07-05,45,40,28,39,11,14,42,
102000056,2013-07-02,05,44,01,21,18,40,22,
102000055,2013-06-28,26,31,49,22,44,42,29,
102000054,2013-06-25,34,18,26,28,38,07,05,
102000053,2013-06-21,41,35,39,29,10,44,07,
102000052,2013-06-18,41,36,11,04,43,25,27,
102000051,2013-06-14,35,47,22,04,16,32,43,
102000050,2013-06-11,46,34,49,20,16,42,04,
102000049,2013-06-07,39,14,29,33,03,48,22,
102000048,2013-06-04,14,46,43,19,34,47,42,
102000047,2013-05-31,44,03,33,39,06,10,37,
102000046,2013-05-28,17,43,16,30,07,10,23,
102000045,2013-05-24,28,10,41,27,31,37,34,
102000044,2013-05-21,39,35,42,49,29,24,48,
102000043,2013-05-17,24,22,16,23,10,05,31,
102000042,2013-05-14,01,30,27,39,07,06,21,
102000041,2013-05-10,43,39,25,02,32,17,34,
102000040,2013-05-07,35,14,11,25,33,09,02,
102000039,2013-05-03,45,32,04,22,01,08,02,
102000038,2013-04-30,32,46,37,30,47,10,16,
102000037,2013-04-26,17,40,19,30,15,47,25,
102000036,2013-04-23,45,36,29,12,15,31,40,
102000035,2013-04-19,48,37,42,36,40,03,17,
102000034,2013-04-16,18,45,06,48,40,43,24,
102000033,2013-04-12,32,22,01,29,03,18,21,
102000032,2013-04-09,45,35,48,07,47,16,39,
102000031,2013-04-05,21,17,04,35,07,13,33,
102000030,2013-04-02,11,20,35,26,23,15,31,
102000029,2013-03-29,03,46,02,08,24,15,36,
102000028,2013-03-26,39,28,01,42,20,09,47,
102000027,2013-03-22,30,23,24,05,13,07,01,
102000026,2013-03-19,40,25,01,12,37,39,18,
102000025,2013-03-15,23,05,37,13,43,44,26,
102000024,2013-03-12,20,47,49,46,35,16,31,
102000023,2013-03-08,16,12,29,45,44,13,30,
102000022,2013-03-05,36,05,38,24,35,30,11,
102000021,2013-03-01,36,34,01,26,37,35,07,
102000020,2013-02-26,30,36,39,21,08,15,17,
102000019,2013-02-22,28,09,07,35,17,25,36,
102000018,2013-02-19,40,28,24,07,23,32,08,
102000017,2013-02-15,08,30,34,17,02,40,26,
102000016,2013-02-12,27,38,13,03,19,24,40,
102000015,2013-02-11,16,46,40,45,48,06,31,
102000014,2013-02-10,12,10,21,35,09,31,19,
102000013,2013-02-09,22,11,05,17,30,34,10,
102000012,2013-02-08,22,26,47,38,04,11,13,
102000011,2013-02-05,25,19,38,08,15,30,06,
102000010,2013-02-01,46,39,28,01,26,37,03,
102000009,2013-01-29,03,31,43,07,34,32,41,
102000008,2013-01-25,18,02,48,11,49,04,38,
102000007,2013-01-22,31,14,47,02,23,25,48,
102000006,2013-01-18,33,46,30,27,22,37,24,
102000005,2013-01-15,32,08,34,02,44,46,14,
102000004,2013-01-11,48,44,33,10,01,24,37,
102000003,2013-01-08,19,14,33,06,05,27,31,
102000002,2013-01-04,35,07,24,01,31,47,21,
102000001,2013-01-01,04,03,32,33,22,49,21,
101000104,2012-12-28,28,37,18,14,42,05,19,
101000103,2012-12-25,41,18,25,32,47,12,07,
101000102,2012-12-21,13,25,31,48,22,17,26,
101000101,2012-12-18,07,15,10,44,19,05,49,
101000100,2012-12-14,08,49,28,11,17,21,37,
101000099,2012-12-11,44,05,12,38,22,14,25,
101000098,2012-12-07,23,08,28,11,19,13,49,
101000097,2012-12-04,43,29,23,02,41,30,16,
101000096,2012-11-30,37,31,18,26,43,05,08,
101000095,2012-11-27,31,13,09,18,19,05,32,
101000094,2012-11-23,04,03,46,18,14,02,25,
101000093,2012-11-20,23,24,27,06,34,20,16,
101000092,2012-11-16,42,33,32,18,17,41,12,
101000091,2012-11-13,02,11,22,31,25,14,26,
101000090,2012-11-09,37,31,45,38,09,25,21,
101000089,2012-11-06,08,47,13,42,48,41,29,
101000088,2012-11-02,24,38,36,04,37,18,31,
101000087,2012-10-30,20,25,14,36,46,10,02,
101000086,2012-10-26,20,41,32,17,28,01,13,
101000085,2012-10-23,46,25,20,02,19,07,43,
101000084,2012-10-19,39,45,25,13,49,27,11,
101000083,2012-10-16,35,03,28,45,02,44,36,
101000082,2012-10-12,11,48,43,05,30,12,15,
101000081,2012-10-09,30,08,41,18,31,15,45,
101000080,2012-10-05,18,09,44,17,33,47,08,
101000079,2012-10-02,07,01,28,03,09,40,45,
101000078,2012-09-28,42,22,06,47,41,04,18,
101000077,2012-09-25,35,19,49,18,45,34,16,
101000076,2012-09-21,29,37,42,36,22,30,09,
101000075,2012-09-18,48,39,12,13,18,44,35,
101000074,2012-09-14,32,33,20,37,38,31,39,
101000073,2012-09-11,21,03,31,30,48,04,15,
101000072,2012-09-07,19,44,07,17,24,30,31,
101000071,2012-09-04,32,48,36,40,10,21,09,
101000070,2012-08-31,28,36,45,34,31,18,42,
101000069,2012-08-28,06,30,38,03,41,01,46,
101000068,2012-08-24,35,43,07,42,34,47,29,
101000067,2012-08-21,29,40,46,44,47,06,33,
101000066,2012-08-17,43,38,39,48,47,07,29,
101000065,2012-08-14,19,27,02,38,31,49,32,
101000064,2012-08-10,01,24,26,14,03,45,38,
101000063,2012-08-07,12,29,28,43,47,23,26,
101000062,2012-08-03,14,44,27,13,18,29,21,
101000061,2012-07-31,24,33,44,28,01,43,31,
101000060,2012-07-27,22,05,27,07,34,09,45,
101000059,2012-07-24,24,11,39,05,21,37,13,
101000058,2012-07-20,41,11,44,34,22,14,27,
101000057,2012-07-17,25,30,37,19,17,22,31,
101000056,2012-07-13,46,15,28,08,35,41,11,
101000055,2012-07-10,16,41,03,26,31,28,45,
101000054,2012-07-06,18,31,04,11,27,19,24,
101000053,2012-07-03,49,41,34,11,18,21,47,
101000052,2012-06-29,09,30,36,11,39,45,26,
101000051,2012-06-26,01,07,16,41,06,12,49,
101000050,2012-06-22,28,36,24,06,44,38,08,
101000049,2012-06-19,26,05,19,01,46,17,47,
101000048,2012-06-15,47,23,15,09,38,49,36,
101000047,2012-06-12,29,21,40,35,03,33,45,
101000046,2012-06-08,01,09,24,45,46,49,12,
101000045,2012-06-05,11,49,16,40,13,35,39,
101000044,2012-06-01,04,44,39,34,18,31,49,
101000043,2012-05-29,49,46,38,05,22,43,13,
101000042,2012-05-25,01,22,33,40,26,17,11,
101000041,2012-05-22,13,01,28,18,08,49,06,
101000040,2012-05-18,13,31,23,46,25,39,41,
101000039,2012-05-15,44,35,30,49,47,01,46,
101000038,2012-05-11,37,30,33,22,10,29,27,
101000037,2012-05-08,06,29,23,30,25,24,47,
101000036,2012-05-04,17,31,23,39,04,11,14,
101000035,2012-05-01,07,43,21,22,05,31,04,
101000034,2012-04-27,35,40,45,22,13,24,37,
101000033,2012-04-24,39,47,09,21,19,14,11,
101000032,2012-04-20,48,25,44,03,02,45,31,
101000031,2012-04-17,23,26,43,31,19,25,10,
101000030,2012-04-13,20,09,35,04,01,25,43,
101000029,2012-04-10,33,06,31,42,27,19,13,
101000028,2012-04-06,36,04,37,05,40,14,25,
101000027,2012-04-03,44,23,47,08,39,22,36,
101000026,2012-03-30,21,38,28,01,20,36,30,
101000025,2012-03-27,27,29,28,16,23,18,19,
101000024,2012-03-23,36,31,43,37,44,22,11,
101000023,2012-03-20,13,07,05,26,46,04,24,
101000022,2012-03-16,27,26,43,28,30,31,08,
101000021,2012-03-13,06,47,24,48,49,46,40,
101000020,2012-03-09,45,21,48,41,44,10,32,
101000019,2012-03-06,25,20,02,05,17,48,14,
101000018,2012-03-02,15,06,45,31,02,21,24,
101000017,2012-02-28,30,47,36,43,02,32,49,
101000016,2012-02-24,17,43,02,15,06,13,04,
101000015,2012-02-21,42,32,39,46,21,02,19,
101000014,2012-02-17,15,30,26,38,44,14,19,
101000013,2012-02-14,21,45,02,11,33,19,40,
101000012,2012-02-10,43,16,41,29,19,05,37,
101000011,2012-02-07,33,41,27,07,22,39,13,
101000010,2012-02-03,08,34,32,05,20,35,17,
101000009,2012-01-31,11,19,15,33,14,01,42,
101000008,2012-01-27,40,20,34,21,22,03,44,
101000007,2012-01-24,29,21,44,08,38,45,20,
101000006,2012-01-20,22,44,30,39,10,12,09,
101000005,2012-01-17,22,04,42,46,10,35,32,
101000004,2012-01-13,48,36,46,22,42,43,21,
101000003,2012-01-10,03,21,47,27,23,45,40,
101000002,2012-01-06,14,41,23,10,35,46,19,
101000001,2012-01-03,34,09,26,19,38,40,37,
100000104,2011-12-30,15,28,37,13,12,30,03,
100000103,2011-12-27,01,08,30,23,32,24,14,
100000102,2011-12-23,40,17,27,31,06,48,28,
100000101,2011-12-20,26,07,34,09,05,27,08,
100000100,2011-12-16,41,31,10,36,44,35,34,
100000099,2011-12-13,48,23,36,02,30,44,24,
100000098,2011-12-09,37,38,40,45,39,10,18,
100000097,2011-12-06,38,14,18,03,13,22,06,
100000096,2011-12-02,23,39,45,31,37,27,06,
100000095,2011-11-29,07,01,35,36,11,14,10,
100000094,2011-11-25,10,43,30,08,36,27,48,
100000093,2011-11-22,40,37,46,41,21,16,27,
100000092,2011-11-18,12,11,16,10,45,15,19,
100000091,2011-11-15,46,21,42,35,12,19,40,
100000090,2011-11-11,36,29,20,19,04,32,30,
100000089,2011-11-08,02,40,39,11,35,22,36,
100000088,2011-11-04,21,14,08,07,02,38,11,
100000087,2011-11-01,21,04,07,29,13,14,22,
100000086,2011-10-28,24,05,33,36,27,15,01,
100000085,2011-10-25,02,05,33,28,44,24,04,
100000084,2011-10-21,20,35,33,43,41,34,04,
100000083,2011-10-18,46,19,44,32,08,04,21,
100000082,2011-10-14,07,26,23,39,08,21,28,
100000081,2011-10-11,06,34,18,43,02,33,28,
100000080,2011-10-07,01,30,16,06,13,33,03,
100000079,2011-10-04,08,49,29,26,15,02,03,
100000078,2011-09-30,10,44,11,34,48,24,31,
100000077,2011-09-27,09,42,23,03,26,31,41,
100000076,2011-09-23,27,23,16,14,44,28,40,
100000075,2011-09-20,28,25,27,34,02,37,42,
100000074,2011-09-16,48,28,23,36,30,15,45,
100000073,2011-09-13,11,48,02,41,08,38,18,
100000072,2011-09-09,12,08,15,36,01,47,10,
100000071,2011-09-06,41,29,38,23,09,02,08,
100000070,2011-09-02,30,05,35,22,24,02,42,
100000069,2011-08-30,48,26,36,37,10,12,34,
100000068,2011-08-26,10,31,45,33,32,43,30,
100000067,2011-08-23,42,29,23,32,05,36,14,
100000066,2011-08-19,32,41,18,30,13,48,45,
100000065,2011-08-16,43,42,26,38,30,37,32,
100000064,2011-08-12,12,22,45,02,40,14,04,
100000063,2011-08-09,49,25,27,33,38,40,12,
100000062,2011-08-05,03,28,25,49,24,20,30,
100000061,2011-08-02,27,17,45,24,42,28,31,
100000060,2011-07-29,19,38,46,28,06,37,42,
100000059,2011-07-26,02,08,29,36,35,13,14,
100000058,2011-07-22,08,22,06,04,05,38,42,
